,title,url
86,ProQuest Digitized Newspapers: The New York Times Recent,https://research.cincinnatilibrary.org/login?url=https://search.proquest.com/pdnnewyorktimes?accountid=39387
87,ProQuest Historical Newspapers,https://research.cincinnatilibrary.org/login?url=http://search.proquest.com/historicalnews?accountid=39387
88,ProQuest Historical Newspapers: Dayton Daily News (1898-1922),https://research.cincinnatilibrary.org/login?url=http://search.proquest.com/hnpdaytondailynews?accountid=39387
89,ProQuest Historical Newspapers: Indianapolis Star (1903-1922),https://research.cincinnatilibrary.org/login?url=http://search.proquest.com/hnpindianapolisstar?accountid=39387
90,ProQuest Historical Newspapers: New York Times,https://research.cincinnatilibrary.org/login?url=http://search.proquest.com/hnpnewyorktimes?accountid=39387
91,ProQuest Historical Newspapers: The Cincinnati Enquirer (1841-2009),https://research.cincinnatilibrary.org/login?url=https://search.proquest.com/hnpcincinnatienquirershell?accountid=39387
92,ProQuest Historical Newspapers: The Nashville Tennessean (1812-1922),https://research.cincinnatilibrary.org/login?url=http://search.proquest.com/hnpnashvilletennessean?accountid=39387
93,ProQuest: Cincinnati Enquirer (1999-current),https://research.cincinnatilibrary.org/login?url=http://search.proquest.com/midwestnews1/publication/45578/citation/263F14897FBF4E49PQ/1?accountid=39387
94,Reference Solutions (Formerly Reference USA),https://research.cincinnatilibrary.org/login?url=http://www.referenceusa.com
95,Religion and Philosophy Collection,https://research.cincinnatilibrary.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip&profile=EHOST&defaultdb=rlh
96,Sanborn Fire Insurance Maps,https://research.cincinnatilibrary.org/login?url=http://sanborn.ohioweblibrary.org
97,Scholastic BookFlix,http://research.cincinnatilibrary.org/login?url=https://digital.scholastic.com/site/launch/bkflix/?ucn=600022705
98,Science Reference Center,"https://research.cincinnatilibrary.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=scirc"
99,Scribner Writers Online,https://research.cincinnatilibrary.org/login?url=https://link.gale.com/apps/G-Scrib?u=cinc37305
100,Signing Savvy,https://research.cincinnatilibrary.org/login?url=https://www.signingsavvy.com/library/cinhamiltonoh
101,Small Business Reference Center,http://ohioweblibrary.org/db/ebsco-smallbusiness
102,Statistical Abstract of the U.S.,https://research.cincinnatilibrary.org/login?url=http://statabs.proquest.com/sa/
103,Statistical Abstract of the United States,https://www.census.gov/library/publications/time-series/statistical_abstracts.html
104,Statistical Abstract of the World,https://research.cincinnatilibrary.org/login?url=http://statabs.proquest.com/international/
105,TOPICsearch,https://research.cincinnatilibrary.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip&profile=EHOST&defaultdb=tth
106,Transparent Language Online,https://research.cincinnatilibrary.org/login?url=https://library.transparent.com/ohio
107,Treehouse,https://apps.cincinnatilibrary.org/services/treehouse
108,TumbleBooks,https://research.cincinnatilibrary.org/login?url=http://www.tumblebooklibrary.com/auto_login.aspx?U=cincinnatilib&P=libra
109,Twayne’s Authors Online,https://research.cincinnatilibrary.org/login?url=https://link.gale.com/apps/G-Twayne?u=cinc37305
110,Universal Class,https://research.cincinnatilibrary.org/login?url=http://cincinnatihamiltonoh.universalclass.com/register.htm
111,Very Short Introductions,https://research.cincinnatilibrary.org/login?url=https://www.veryshortintroductions.com
112,Vocational & Career Collection,https://research.cincinnatilibrary.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip&profile=EHOST&defaultdb=voh
113,World Book Advanced,https://research.cincinnatilibrary.org/login?url=http://www.worldbookonline.com/advanced/home
114,World Book Early World of Learning,https://research.cincinnatilibrary.org/login?url=http://www.worldbookonline.com/ewol/home
115,World Book Kids,https://research.cincinnatilibrary.org/login?url=http://www.worldbookonline.com/kids/Home
116,World Book Spanish / Enciclopedia Estudiantil Hallazgos,https://research.cincinnatilibrary.org/login?url=http://www.worldbookonline.com/eeh/Home
